Contiguous U.S. Palmer Drought Severity Index (PDSI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201701,-0.91,-1.39
201702,-0.92,-1.42
201703,-1.23,-1.60
201704,0.67,0.35
201705,1.00,0.66
201706,0.94,0.65
201707,0.89,0.51
201708,1.69,1.24
201709,-0.31,-0.76
201710,0.30,-0.13
201711,-0.72,-1.14
201712,-1.54,-1.97
